ticker,disease,stage,date,catalyst
INCY,Polycythemia Vera,Approved,2014-12-04 00:00:00,"Approved December 4, 2014."
ENTA,HCV - genotype 1,Approved,2014-12-19 00:00:00,"Approved December 19, 2014."
ABBV,HCV - genotype 1,Approved,2014-12-19 00:00:00,"Approved December 19, 2014."
BCRX,Acute Influenza,Approved,2014-12-22 00:00:00,"Approved December 22, 2014."
VRTX,Cystic fibrosis (CF) ages 6 and older who have the R117H mutation,Approved,2014-12-29 00:00:00,"Approved December 29, 2014."
RMTI,Anemia,Approved,2015-01-26 00:00:00,"Approved January 26, 2015."
ABBV,Waldenström’s Macroglobulinemia,Approved,2015-01-29 00:00:00,"Approved January 29, 2015 - PCYC"
NKTR,Cancer - Metastatic Breast Cancer,Phase 3,2015-03-17 00:00:00,"Phase 3 topline data mid March 17, 2015 did not reach primary endpoint."
VRTX,Children ages 2 to 5 with cystic fibrosis who have the G551D or one of the eight additional gating mutations,Approved,2015-03-17 00:00:00,"Approved March 17, 2015."
EBS,Anthrax,PDUFA,2015-03-25 00:00:00,"Approved March 25, 2015."
AMGN,Chronic Heart Failure,Approved,2015-04-15 00:00:00,"Approved April 15, 2015."
JNJ,Multiple sclerosis,Approved,2015-04-16 00:00:00,Approved April 16 2015.
NVS,Acute postoperative pain,Approved,2015-04-30 00:00:00,"Approved April 30, 2015."
MNKKQ,Hemostasis,Approved,2015-04-30 00:00:00,"Approved April 30, 2015."
TBPH,Asthma,Approved,2015-04-30 00:00:00,"Approved April 30, 2015."
VRTX,Cystic fibrosis (CF) ages 12 and older who have two copies of the F508del mutation,Approved,2015-07-02 00:00:00,"Approved July 2, 2015."
NYMX,Benign prostatic hyperplasia (BPH),Phase 3,2015-07-27 00:00:00,Phase 3 endpoints met in extension trial July 2015.
SGEN,Post-transplant Hodgkin lymphoma (HL) cancer,Approved,2015-08-17 00:00:00,"Approved August 17, 2015 under priority review."
TAK,Post-transplant Hodgkin lymphoma (HL) cancer,Approved,2015-08-17 00:00:00,"Approved August 17, 2015 under priority review."
MACK,Cancer - second line pancreatic,Approved,2015-10-22 00:00:00,"Approved October 22, 2015."
COLL,Pain,Approved,2015-10-25 00:00:00,"Approved October 26, 2015."
ENDP,"Management of pain severe enough to require daily, around-the-clock, long-term opioid treatment for which alternative treatment options are inadequate",Approved,2015-10-26 00:00:00,"Approved October 26, 2015."
COLL,"Management of pain severe enough to require daily, around-the-clock, long-term opioid treatment for which alternative treatment options are inadequate",Approved,2015-10-26 00:00:00,"Approved October 26, 2015."
EXEL,BRAF V600 Mutation-Positive Advanced Melanoma - Cancer,Approved,2015-11-10 00:00:00,"Approved November 10, 2015."
NKTR,Hemophilia A,Approved,2015-11-16 00:00:00,"Approved November 16, 2015."
EBS,Anthrax Vaccine Adsorbed,Approved,2015-11-24 00:00:00,"Approved November 24, 2015."
OTIC,Ear Tube Placement Surgery,Approved,2015-12-11 00:00:00,"Approved December 11, 2015."
EGRX,"Breast, non-small cell lung, prostate gastric adenocarcinoma, and head and neck cancer",Approved,2015-12-24 00:00:00,"Approved December 24, 2015."
CHRS,Rheumatoid arthritis,Phase 3,2016-01-11 00:00:00,"Phase 3 data released January 2016. Endpoints met. However, commercialization not possible in US before 2029 due to patent issues"
BMRN,Duchenne Muscular Dystrophy (DMD),CRL,2016-01-14 00:00:00,CRL issued January 14 2016.
AYTU,Attention deficit hyperactivity disorder (ADHD),Approved,2016-01-27 00:00:00,"Approved January 27, 2016."
VRTX,Cystic fibrosis (CF) ages 2 and older who have one of 23 residual function mutations.,CRL,2016-02-05 00:00:00,"CRL issued February 5, 2016."
JAZZ,Dravet Syndrome and Lennox-Gastaut syndrome,Phase 3,2016-03-14 00:00:00,"Top line Phase 3 data released March 14, 2016 met primary endpoint."
SPPI,Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,Approved,2016-03-15 00:00:00,Approved March 15 2016.
ASRT,Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,Approved,2016-03-15 00:00:00,Approved March 15 2016.
EGRX,Percutaneous Coronary Intervention (PCI) and Percutaneous Transluminal Coronary Angioplasty (PTCA),CRL,2016-03-18 00:00:00,CRL March 18 2016. FDA requested further characterization of bivalirudin-related substances in the drug product.
EXEL,Metastatic renal cell cancer (RCC),Approved,2016-04-25 00:00:00,"Approved April 25, 2016."
ACAD,Parkinson’s disease psychosis (PDP),Approved,2016-04-29 00:00:00,"Approved April 29, 2016."
AVDL,Hypotension,Approved,2016-05-02 00:00:00,"Approved May 2, 2016."
VNDA,Maintenance treatment of schizophrenia in adults,Approved,2016-05-26 00:00:00,"Approved May 26, 2016."
TTNP,Opioid dependence,Approved,2016-05-26 00:00:00,"CRL issued April 30, 2013. Approved May 26, 2016."
ICPT,Primary biliary cirrhosis (PBC),Approved,2016-05-27 00:00:00,Approved May 27 2016.
MRNS,Focal onset seizures,Phase 3,2016-06-13 00:00:00,"Phase 3 data did not meet endpoints - June 13, 2016"
OPK,Secondary hyperparathyroidism (SHPT) in chronic kidney disease (CKD) and vitamin D insufficiency - Stage 3 and 4,Approved,2016-06-21 00:00:00,"Announced FDA Approval June 21, 2016."
CLVS,Mutant EGFR T790M-positive lung cancer,CRL,2016-06-28 00:00:00,"CRL June 28, 2016. Phase 3 TIGER-3 also terminated."
LNTH,Chronic pain,Approved,2016-07-19 00:00:00,Approved July 19 2016.
HRTX,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),Approved,2016-08-10 00:00:00,"CRL Mar 28 2013. Approved August 10, 2016."
KMDA,AATD - Alpha-1 Antitrypsin deficiency,Phase 2,2016-08-30 00:00:00,"Top-line data released August 30, 2016. Primary endpoint met"
GSK,"Prevention of chemotherapy induced nausea and vomiting, or CINV in HEC patients",Approved,2016-09-02 00:00:00,"Approved September 2, 2015."
GSK,"Prevention of chemotherapy induced nausea and vomiting, or CINV",Approved,2016-09-02 00:00:00,"Approved September 2, 2015."
NVAX,Respiratory Syncytial Virus (RSV) in older adults,Phase 3,2016-09-15 00:00:00,"Phase 3 released September 15, 2016 did not demonstrate efficacy."
SRPT,Duchenne muscular dystrophy,Approved,2016-09-19 00:00:00,"Approved September 19, 2016."
TENX,Septic shock,Phase 2b,2016-10-05 00:00:00,Phase 2b trial did not meet primary endpoint.
PLXP,Mild infections of diabetic foot ulcers,Phase 3,2016-10-25 00:00:00,"Phase 3 top-line data did not meet endpoints - October 25, 2016 - TICKER CHANGED FROM DPRX FOLLOWING MERGER"
ACOR,Post stroke deficits,Phase 3,2016-11-21 00:00:00,"Phase 3 data released November 21, 2016 - failed to show efficacy, development to be discontinued."
NOVN,Human papillomavirus (HPV),Phase 2,2016-11-29 00:00:00,"Phase 2 data released November 29, 2016. Primary endpoint met."
AVTX,Major depressive disorder (MDD),Phase 2,2016-11-29 00:00:00,"Phase 2 top-line data released November 29, 2016 failed to meet primary endpoint."
VCEL,Focal chondral cartilage defects in the knee.,Approved,2016-12-13 00:00:00,"FDA Approval announced December 13, 2016 ahead of PDUFA date of January 3 2017."
COLL,Painful diabetic neuropathy (PDN),Phase 2b,2016-12-13 00:00:00,"Phase 2b data released December 13, 2016 - primary endpoints not met."
VTVT,Type 2 Diabetes,Phase 2,2016-12-14 00:00:00,"Phase 2 primary endpoint met - December 14, 2016."
CLVS,Cancer - ovarian second line,Approved,2016-12-19 00:00:00,"Approved December 19, 2016. Original PDUFA date under priority review was February 23, 2017."
MACK,Cancer - HER2-positive locally advanced or metastatic breast cancer,Phase 2,2016-12-21 00:00:00,"Phase 2 trial discontinued December 21, 2016 due to poor efficacy."
IONS,Spinal muscular atrophy (SMA),Approved,2016-12-23 00:00:00,"Approved December 23, 2016."
AMPH,Asthma,CRL,2016-12-27 00:00:00,"CRL issued December 27, 2016."
OPK,Adults - growth hormone deficiency,Phase 3,2016-12-30 00:00:00,"Phase 3 data released December 30, 2016 - primary endpoint not met."
FGEN,Pancreatic cancer,Phase 2,2017-01-17 00:00:00,"Phase 2 abstract released January 17, 2017."
NBIX,Tourette syndrome - adults,Phase 2,2017-01-18 00:00:00,"Phase 2 data released January 18, 2017 did not meet primary endpoint."
ABBV,Marginal zone lymphoma,Approved,2017-01-19 00:00:00,"sNDA filing under priority review approved January 19, 2017."
ABBV,Facial Erythema (Redness) Associated with Rosacea,Approved,2017-01-19 00:00:00,"Approved January 19, 2017."
IRWD,Chronic idiopathic constipation (CIC),Approved,2017-01-26 00:00:00,"sNDA approval announced January 26, 2017."
NOVN,Acne vulgaris,Phase 3,2017-01-27 00:00:00,"Phase 3 top-line data released January 27, 2017. Met one of three co-primary endpoints in NI-AC301 trial. Met all endpoints in NI-AC302 trial."
TENX,Reduce the incidence of low cardiac output syndrome during cardiac surgery,Phase 3,2017-01-31 00:00:00,"Phase 3 top line data released January 31, 2017 - primary endpoints not met."
JAZZ,Spasticity due multiple sclerosis,Phase 2,2017-02-07 00:00:00,"Phase 2 trial did not meet primary endpoint - noted February 7, 2017."
AMGN,Secondary hyperparathyroidism (SHPT),Approved,2017-02-07 00:00:00,"Approved February 7, 2017."
JNJ,Coronary Artery Disease or Peripheral Artery Disease,Phase 3,2017-02-08 00:00:00,"Phase 3 trial stopped early due to positive efficacy - February 8, 2017."
BHC,Psoriasis,Approved,2017-02-15 00:00:00,"Approved February 15, 2017."
CDTX,Vulvovaginal candidiasis (VVC),Phase 2,2017-02-21 00:00:00,"Phase 2 data released February 21, 2017 - efficacy not evident, Development to be discontinued."
BMY,Multiple myeloma (MM) - autologous stem cell transplant (ASCT),Approved,2017-02-22 00:00:00,"Approved February 22, 2017."
CMRX,Adenovirus Infection,Phase 3,2017-02-22 00:00:00,"Phase 3 interim analysis released May 2016. Final data released February 22, 2017."
AZN,Type-2 diabetes,Approved,2017-02-28 00:00:00,"Approval announced February 28, 2017."
MRK,House dust mite allergies,Approved,2017-03-01 00:00:00,"Approved March 1, 2017."
KPTI,Relapsed/Refractory Acute Myeloid Leukemia (AML),Phase 2,2017-03-02 00:00:00,"Data Safety Monitoring Board (DSMB) noted March 2, 2017 that trial will not meet primary endpoint."
PTCT,Nonsense mutation cystic fibrosis,Phase 3,2017-03-02 00:00:00,"Phase 3 data released March 2, 2017 - endpoints not met. Development to be discontinued."
NVS,HR+/HER2- advanced breast cancer,Approved,2017-03-13 00:00:00,"Priority review granted November 1, 2016. Approval announced March 13, 2017."
MRK,Relapsed or Refractory Classical Hodgkin Lymphoma,Approved,2017-03-14 00:00:00,"Approval announced March 14, 2017."
JAZZ,Excessive sleepiness associated with obstructive sleep apnea,Phase 3,2017-03-20 00:00:00,"Phase 3 data released March 20, 2017 - primary endpoints met."
NVS,Acute heart failure,Phase 3,2017-03-22 00:00:00,"Phase 3 data released March 22, 2017 - primary endpoints not met."
PFE,Metastatic Merkel cell carcinoma,Approved,2017-03-23 00:00:00,"Priority review announced November 29, 2016. Approval announced March 23, 2017."
XENE,Acne,Phase 2,2017-03-24 00:00:00,Phase 2 data released March 24 2017 - endpoints not met.
GSK,Cancer - ovarian,Approved,2017-03-27 00:00:00,"PDUFA date under priority review was June 30, 2017. Approved March 27, 2017."
SNY,Atopic dermatitis,Approved,2017-03-28 00:00:00,"Approved under priority review - March 28, 2017."
REGN,Atopic dermatitis,Approved,2017-03-28 00:00:00,"Approved under priority review - March 28, 2017."
PFE,"HR+, HER2- Metastatic Breast Cancer",Approved,2017-03-31 00:00:00,"sNDA acceptance announced December 21, 2016. Approval announced March 31, 2017."
AZN,Epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC),Approved,2017-03-31 00:00:00,"Approval announced March 31, 2017."
SUPN,Migraine,Approved,2017-04-05 00:00:00,"Tentative approval August 19 2016, subject to the pediatric exclusivity which expires March 28, 2017. Final approval announced April 6, 2017."
NKTR,Bronchiectasis,Phase 3,2017-04-05 00:00:00,"Phase 3 second trial did not meet endpoint - April 5, 2017."
MRK,Type 2 Diabetes,CRL,2017-04-07 00:00:00,CRL issued April 7 2017. sNDA for approved drug requested to include data on cardiovascular effects
NBIX,Tardive dyskinesia,Approved,2017-04-11 00:00:00,"Approved April 11, 2017."
NOVN,Fungal infections,Phase 2,2017-04-12 00:00:00,"Phase 2 data released April 12, 2017. Primary endpoint met."
MRK,Biosimilar candidate of Remicade,Approved,2017-04-21 00:00:00,"BLA acceptance announced May 23, 2016 by partner Samsung Bioepis. Approval annuonced April 21, 2017."
XOMA,Hyperprolactinemia,Phase 2,2017-04-24 00:00:00,"Phase 2 proof-of-concept results released April 24, 2017."
SNY,High low-density lipoprotein (LDL) cholesterol,Approved,2017-04-25 00:00:00,"sBLA Approval announced April 25, 2017."
REGN,High low-density lipoprotein (LDL) cholesterol,Approved,2017-04-25 00:00:00,"sBLA Approval announced April 25, 2017."
BMRN,Batten Disease,Approved,2017-04-27 00:00:00,"PDUFA date extended by three months to April 27 2017. Approval announced April 27, 2017."
NVS,Acute myeloid leukemia (AML),Approved,2017-04-28 00:00:00,"Priority review granted November 14, 2016. Approval announced April 28, 2017."
AEZS,Endometrial cancer,Phase 3,2017-05-01 00:00:00,"Phase 3 trial did not meet primary endpoint - May 1, 2017."
PFE,Urothelial Carcinoma,Approved,2017-05-09 00:00:00,"Approval announced May 9, 2017."
AZN,"Severe, uncontrolled asthma",Phase 3,2017-05-10 00:00:00,"Phase 3 trial did not meet primary endpoint - May 10, 2017."
MRK,First-Line Treatment of Metastatic Non-Squamous Non-Small Cell Lung Cancer,Approved,2017-05-10 00:00:00,"Approved May 10, 2017."
ARDX,Constipation-predominant irritable bowel syndrome (IBS-C),Phase 3,2017-05-12 00:00:00,"Phase 3 data released May 12, 2017. Primary endpoint met - however, competitive concerns raised."
CAPR,Myocardial infarction (heart attack),Phase 2,2017-05-12 00:00:00,"Phase 2 data released May 12, 2017 - primary endpoint unlikely to be met."
MRK,First and Second line locally advanced or metastatic urothelial cancer - bladder cancer,Approved,2017-05-18 00:00:00,"Approved May 18, 2017."
REGN,Rheumatoid arthritis,Approved,2017-05-22 00:00:00,"CRL October 28, 2016. Resubmitted with FDA Approval announced May 22, 2017."
SNY,Rheumatoid arthritis,Approved,2017-05-22 00:00:00,"CRL October 28, 2016. Resubmitted with FDA Approval announced May 22, 2017."
MRK,Microsatellite Instability-High Cancer,Approved,2017-05-23 00:00:00,"PDUFA date March 8, 2017 extended to June 9, 2017 due to submission of extra data. Approved May 23, 2017."
NVS,First-line use in patients with ALK+ metastatic NSCLC,Approved,2017-05-26 00:00:00,"Priority review granted February 22, 2017. Approval announced May 26, 2017."
MRK,HIV-1,Approved,2017-05-30 00:00:00,"Approval announced May 30, 2017."
NVO,haemophilia B,Approved,2017-05-31 00:00:00,"Approval announced May 31, 2017."
ALKS,Schizophrenia,Approved,2017-06-06 00:00:00,"Approved October 5 2015. sNDA filed for 2-month option with approval announced June 6, 2017."
MRK,Renal Cell Carcinoma (RCC) - cancer,Phase 2,2017-06-12 00:00:00,"Phase 2 data released June 12, 2017 - primary endpoint not met."
RDHL,Gastroenteritis,Phase 3,2017-06-14 00:00:00,"Phase 3 top-line data released June 14, 2017 - primary endpoint met."
ADMP,Emergency treatment of anaphylaxis,Approved,2017-06-15 00:00:00,"CRL issued March 27 2015. CRL issued again June 6, 2016. Approval announced June 15, 2017 following third submission."
GMAB,Relapsed or refractory multiple myeloma,Approved,2017-06-16 00:00:00,"Approval announced June 16, 2017 - note: submitted by Janssen Biotech, Inc."
JNJ,Relapsed or refractory multiple myeloma,Approved,2017-06-16 00:00:00,"Approval announced June 16, 2017 - note: submitted by Janssen Biotech, Inc."
SGEN,Acute myeloid leukemia (AML) - cancer,Phase 3,2017-06-19 00:00:00,"Phase 3 trial discontinued due to higher rate of deaths - June 19, 2017."
AYTU,Attention deficit hyperactivity disorder (ADHD),Approved,2017-06-19 00:00:00,"Approval announced June 19, 2017."
NVS,Non-small cell lung cancer (NSCLC) with BRAF V600E mutation,Approved,2017-06-22 00:00:00,"FDA Approval announced June 22, 2017."
HALO,Various blood cancers,Approved,2017-06-22 00:00:00,"Approval announced June 22, 2017."
PFE,,CRL,2017-06-22 00:00:00,"CRL issued June 22, 2017."
AZN,Venous thromboembolism (VTE) Prevention,Approved,2017-06-23 00:00:00,"FDA Approval noted June 23, 2017."
XENE,Postherpetic neuralgia,Phase 2b,2017-06-27 00:00:00,"Phase 2b data released June 27, 2017. Endpoints not met."
NRBO,Homozygous Familial Hypercholesterolemia (HoFH),Phase 2b,2017-06-28 00:00:00,"Phase 2b data released June 28, 2017 - primary endpoint met."
AMGN,Wild-Type RAS Metastatic Colorectal Cancer,Approved,2017-06-29 00:00:00,"sBLA approval announced June 29, 2017."
BMY,Psoriatic Arthritis (PsA),Approved,2017-07-06 00:00:00,"Approval announced July 6, 2017."
RCKT,Glaucoma,Phase 2,2017-07-07 00:00:00,"Phase 2 trial failed - noted July 7, 2017."
UTHR,Pulmonary Arterial Hypertension,Phase 2,2017-07-10 00:00:00,"Phase 2 data released July 10, 2017. Primary endpoint met. Secondary missed."
AMGN,Ph+ R/R ALL,Approved,2017-07-11 00:00:00,"PDUFA date under priority review August 14, 2017. Approval announced July 11, 2017."
JNJ,Plaque psoriasis,Approved,2017-07-13 00:00:00,"Approval announced July 13, 2017."
PBYI,Extended adjuvant HER2-positive early stage breast cancer,Approved,2017-07-17 00:00:00,"Approval announced July 17, 2017."
GILD,Hepatitis C virus (HCV),Approved,2017-07-18 00:00:00,"Approval announced July 18, 2017."
GSK,Systemic lupus erythematosus (SLE),Approved,2017-07-21 00:00:00,"Approval announced July 21, 2017."
MRK,Recurrent or metastatic head and neck squamous cell carcinoma (HNSCC),Phase 3,2017-07-24 00:00:00,"Phase 3 trial did not meet primary endpoint - July 24, 2017. Awarded accelerated approval in 2016."
AGIO,Advanced hematologic malignancies with an IDH2 mutation,Approved,2017-08-01 00:00:00,"Approval announced August 1, 2017."
ACRX,Post-operative pain following open abdominal surgery and hip or knee replacement surgery,Phase 3,2017-08-01 00:00:00,"Phase 2 data released August 1, 2017."
BMY,(dMMR) or microsatellite instability high (MSI-H) metastatic colorectal cancer (CRC),Approved,2017-08-01 00:00:00,"Approval announced August 1, 2017."
BMY,Advanced hematologic malignancies with an IDH2 mutation,Approved,2017-08-01 00:00:00,"Approval announced August 1, 2017."
ABBV,Second-line Chronic graft-versus-host disease (GVHD),Approved,2017-08-02 00:00:00,"Approval announced August 2, 2017."
JNJ,Second-line Chronic graft-versus-host disease (GVHD),Approved,2017-08-02 00:00:00,"Approval announced August 2, 2017."
TBPH,Gastroparesis,Phase 2b,2017-08-02 00:00:00,"Phase 2b data released August 2, 2017. Primary endpoint not met."
ENTA,Hepatitis C virus (HCV),Approved,2017-08-03 00:00:00,"Approval announced August 3, 2017."
ABBV,Hepatitis C virus (HCV),Approved,2017-08-03 00:00:00,"Approval announced August 3, 2017."
ZYNE,Adult Epilepsy Patients with Refractory Focal Seizures,Phase 2,2017-08-07 00:00:00,"Phase 2 data released August 7, 2017 - endpoints not met."
HRMY,Adult Epilepsy Patients with Refractory Focal Seizures,Phase 2,2017-08-07 00:00:00,"Phase 2 data released August 7, 2017 - endpoints not met."
ISEE,Wet age-related macular degeneration (Wet-AMD),Phase 3,2017-08-14 00:00:00,"Phase 3 data released December 12, 2016 - primary endpoint not met. Data from third trial released August 14, 2017- primary endpoint not met."
HRMY,Osteoarthritis,Phase 2,2017-08-14 00:00:00,"Phase 2 data released August 14, 2017 - primary endpoint not met. However, company still intends to initiate Phase 3 trial pending discussions with FDA."
ZYNE,Osteoarthritis,Phase 2,2017-08-14 00:00:00,"Phase 2 data released August 14, 2017 - primary endpoint not met. However, company still intends to initiate Phase 3 trial pending discussions with FDA."
REGN,Respiratory syncytial virus (RSV),Phase 3,2017-08-14 00:00:00,"Phase 3 data released August 14, 2017 - primary endpoint not met."
AZN,Second-line ovarian cancer,Approved,2017-08-17 00:00:00,"Approval announced August 17, 2017."
PFE,Relapsed or Refractory Acute Lymphoblastic Leukemia in Adults,Approved,2017-08-17 00:00:00,"Approval announced August 17, 2017."
IRWD,Hyperuricemia associated with gout,Approved,2017-08-21 00:00:00,"Approval announced August 21, 2017."
RARE,GNE Myopathy,Phase 3,2017-08-22 00:00:00,"Phase 3 data released August 22, 2017 - endpoints not met."
KMDA,Prophylaxis of rabies disease,Approved,2017-08-25 00:00:00,"Approval announced August 25, 2017."
NVO,Type 2 diabetes,Approved,2017-08-25 00:00:00,"Approval announced August 25, 2017."
AZN,"Monotherapy for expanded use in women with HR+, HER2- advanced breast cancer",Approved,2017-08-28 00:00:00,"Expanded approval announced August 28, 2017."
NVS,Complicated urinary tract infections (cUTI),Approved,2017-08-29 00:00:00,"Approved August 29, 2017."
NVS,Relapsed/Refractory B-Cell Acute lymphoblastic leukemia,Approved,2017-08-30 00:00:00,"PDUFA date under priority review announced March 29, 2017. Approval announced early - August 30, 2017."
OTIC,Meniere's disease,Phase 3,2017-08-30 00:00:00,Phase 3 data released August 30 failed to meet primary and key secondary endpoints.
PFE,Acute myeloid leukemia (AML),Approved,2017-09-01 00:00:00,"Approval announced September 1, 2017."
SAGE,SRSE,Phase 3,2017-09-12 00:00:00,"Phase 3 data released September 12, 2017 - primary endpoint not met."
FOLD,Epidermolysis Bullosa (EB),Phase 3,2017-09-13 00:00:00,"Phase 3 top-line data released September 13, 2017 - endpoints not met."
AMGN,Biosimilar candidate to Avastin (bevacizumab),Approved,2017-09-14 00:00:00,"Approved September 14, 2017."
ABBV,Biosimilar candidate to Avastin (bevacizumab),Approved,2017-09-14 00:00:00,"Approved September 14, 2017."
AYTU,Attention deficit hyperactivity disorder (ADHD),Approved,2017-09-15 00:00:00,"Approval announced September 15, 2017."
OPTN,Nasal polyps,Approved,2017-09-17 00:00:00,"Approval announced September 18, 2017 (prior to IPO)."
INVA,Chronic obstructive pulmonary disease (COPD),Approved,2017-09-18 00:00:00,"Approval announced September 18, 2017."
GSK,Chronic obstructive pulmonary disease (COPD),Approved,2017-09-18 00:00:00,"Approval announced September 18, 2017."
BCRX,Acute uncomplicated influenza to pediatric patients,Approved,2017-09-21 00:00:00,"Approved September 21, 2017."
ARAV,"Growth hormone deficiency, or GHD - pediatric",Phase 3,2017-09-21 00:00:00,"Phase 3 top-line data released September 21, 2017 - primary endpoint not met."
JNJ,Rheumatoid arthritis,CRL,2017-09-22 00:00:00,"CRL issued September 22, 2017. Advisory Committee Meeting August 2, 2017 voted 12-1 against that safety data is adequate to support approval. 13-0 in favor of efficacy."
PRTA,Psoriatic Arthritis,Phase 1b,2017-09-28 00:00:00,"Phase 1b data released September 28, 2017 - insufficient meaningful clinical effect for further development."
