ticker,cik
RCUS,1724521
RDHL,1553846
REGN,0872589
REPL,1737953
REVB,1810560
RFL,1713863
RGEN,0730272
RGLS,1505512
RGNX,1590877
RIGL,1034842
RLAY,1812364
RLFTF,1854078
RLMD,1553643
RLYB,1739410
RMTI,1041024
RNA,1599901
RNAZ,1829635
RNXT,1574094
ROIV,1635088
RPTX,1808158
RUBY,1709401
RVMD,1628171
RVNC,1479290
RVPH,1742927
RXRX,1601830
RYTM,1649904
RYZB,1825367
RZLT,1509261
SABS,1833214
SAGE,1597553
SAVA,1069530
SCLX,1820190
SCNI,1611747
SCPH,1604950
SCYX,1178253
SDGR,1490978
SEEL,1017491
SELB,1453687
SGEN,1060736
SGMO,1001233
SIGA,1010086
SIOX,1636050
SLDB,1707502
SLGL,1684693
SLN,1479615
SLNO,1484565
SLRN,1962918
SLRX,1615219
SLS,1390478
SMMT,1599298
SNDX,1395937
SNGX,0812796
SNPX,1571934
SNSE,1829802
SNY,1121404
SONN,1106838
SPRB,1683553
SPRC,1611746
SPRO,1701108
SPRY,1671858
SRPT,0873303
SRRK,1727196
STOK,1623526
STRO,1382101
STTK,1680367
SUPN,1356576
SVRA,1160308
SWTX,1773427
SXTP,1946563
SYBX,1527599
SYRS,1556263
TAK,1395064
TARA,1359931
TARS,1819790
TBPH,1583107
TCON,1394319
TCRT,1107421
TCRX,1783328
TENX,0034956
TERN,1831363
TEVA,0818686
TFFP,1733413
TGTX,1001316
THRX,1745020
TIL,1789769
TLSA,1723069
TMBR,1504167
TNGX,1819133
TNXP,1430306
TNYA,1858848
TOVX,0894158
TPST,1544227
TRDA,1689375
TRVI,1563880
TRVN,1429560
TSHA,1806310
TSVT,1860782
TTNP,0910267
TVTX,1438533
TXMD,0025743
TYRA,1863127
UBX,1463361
UNCY,1766140
URGN,1668243
UTHR,1082554
VACC,1828185
VALN,1836564
VAXX,1851657
VBIV,0764195
VCEL,0887359
VCNX,1205922
VCYT,1384101
VERA,1831828
VERU,0863894
VIGL,1827087
VINC,1796129
VIR,1706431
VIRI,1818844
VIRX,1061027
VKTX,1607678
VNDA,1347178
VOR,1817229
VRCA,1660334
VRDN,1590750
VRNA,1657312
VRTX,0875320
VSTM,1526119
VTGN,1411685
VTRS,1792044
VTVT,1641489
VTYX,1851194
VXRT,0072444
VYGR,1640266
VYNE,1566044
WINT,0946486
WVE,1631574
XAIR,1641631
XBIO,1534525
XBIT,1626878
XCUR,1698530
XENE,1582313
XERS,1867096
XFOR,1501697
XLO,1840233
XNCR,1326732
XOMA,0791908
YMAB,1722964
YS,1946399
ZLAB,1704292
ZNTL,1725160
ZURA,1855644
ZVRA,1434647
ZYME,1937653
