ticker,disease,stage,date,catalyst,label
AVDL,Clinically important hypotension resulting primarily from vasodilation in the setting of anesthesia,Approved,6/30/14,"Approved June 30, 2014.",5
EGRX,Chronic lymphocytic leukemia; Indolent non-Hodgkin's lymphoma - cancer,Approved,7/2/14,"Tentative approval July 2 2014. Teva has also received orphan drug and related pediatric exclusivity expiring in September 2015 and May 2016 for the CLL and NHL indications, respectively.",5
SPPI,Peripheral T-Cell Lymphoma cancer,Approved,7/7/14,"Approved July 7, 2014.",5
ASRT,Peripheral T-Cell Lymphoma cancer,Approved,7/7/14,"Approved July 7, 2014.",5
EGRX,Malignant hyperthermia - cancer,Approved,7/23/14,"Approved July 23, 2014 under priority review.",5
NVS,ABSSSI,Approved,8/6/14,"Approved August 6, 2014 under priority review",5
AKBA,Hyperphosphatemia,Approved,9/5/14,"Approved Sept 5, 2014.",5
HALO,Subcutaneous treatment for patients with primary immunodeficiency (PI),Approved,9/12/14,"Approved September 12, 2014.",5
NKTR,Opioid-induced constipation (OIC),Approved,9/16/14,"Approved September 16, 2014.",5
EYPT,Diabetic macular edema,Approved,9/26/14,Approved Sept 26 2014.,5
ALIM,Diabetic macular edema,Approved,9/26/14,"Approved September 26, 2014,",5
LNTH,Chronic pain,Approved,9/29/14,"Approved September 29, 2014.",5
INCY,Polycythemia Vera,Approved,12/4/14,"Approved December 4, 2014.",5
ENTA,HCV - genotype 1,Approved,12/19/14,"Approved December 19, 2014.",5
ABBV,HCV - genotype 1,Approved,12/19/14,"Approved December 19, 2014.",5
BCRX,Acute Influenza,Approved,12/22/14,"Approved December 22, 2014.",5
VRTX,Cystic fibrosis (CF) ages 6 and older who have the R117H mutation,Approved,12/29/14,"Approved December 29, 2014.",5
RMTI,Anemia,Approved,1/26/15,"Approved January 26, 2015.",5
ABBV,Waldenström’s Macroglobulinemia,Approved,1/29/15,"Approved January 29, 2015 - PCYC",5
NKTR,Cancer - Metastatic Breast Cancer,Phase 3,3/17/15,"Phase 3 topline data mid March 17, 2015 did not reach primary endpoint.",3
VRTX,Children ages 2 to 5 with cystic fibrosis who have the G551D or one of the eight additional gating mutations,Approved,3/17/15,"Approved March 17, 2015.",5
EBS,Anthrax,PDUFA,3/25/15,"Approved March 25, 2015.",5
AMGN,Chronic Heart Failure,Approved,4/15/15,"Approved April 15, 2015.",5
JNJ,Multiple sclerosis,Approved,4/16/15,Approved April 16 2015.,5
NVS,Acute postoperative pain,Approved,4/30/15,"Approved April 30, 2015.",5
MNKKQ,Hemostasis,Approved,4/30/15,"Approved April 30, 2015.",5
TBPH,Asthma,Approved,4/30/15,"Approved April 30, 2015.",5
VRTX,Cystic fibrosis (CF) ages 12 and older who have two copies of the F508del mutation,Approved,7/2/15,"Approved July 2, 2015.",5
NYMX,Benign prostatic hyperplasia (BPH),Phase 3,7/27/15,Phase 3 endpoints met in extension trial July 2015.,5
SGEN,Post-transplant Hodgkin lymphoma (HL) cancer,Approved,8/17/15,"Approved August 17, 2015 under priority review.",5
TAK,Post-transplant Hodgkin lymphoma (HL) cancer,Approved,8/17/15,"Approved August 17, 2015 under priority review.",5
MACK,Cancer - second line pancreatic,Approved,10/22/15,"Approved October 22, 2015.",5
COLL,Pain,Approved,10/25/15,"Approved October 26, 2015.",5
ENDP,"Management of pain severe enough to require daily, around-the-clock, long-term opioid treatment for which alternative treatment options are inadequate",Approved,10/26/15,"Approved October 26, 2015.",5
COLL,"Management of pain severe enough to require daily, around-the-clock, long-term opioid treatment for which alternative treatment options are inadequate",Approved,10/26/15,"Approved October 26, 2015.",5
EXEL,BRAF V600 Mutation-Positive Advanced Melanoma - Cancer,Approved,11/10/15,"Approved November 10, 2015.",5
NKTR,Hemophilia A,Approved,11/16/15,"Approved November 16, 2015.",5
EBS,Anthrax Vaccine Adsorbed,Approved,11/24/15,"Approved November 24, 2015.",5
OTIC,Ear Tube Placement Surgery,Approved,12/11/15,"Approved December 11, 2015.",5
EGRX,"Breast, non-small cell lung, prostate gastric adenocarcinoma, and head and neck cancer",Approved,12/24/15,"Approved December 24, 2015.",5
CHRS,Rheumatoid arthritis,Phase 3,1/11/16,"Phase 3 data released January 2016. Endpoints met. However, commercialization not possible in US before 2029 due to patent issues",4
BMRN,Duchenne Muscular Dystrophy (DMD),CRL,1/14/16,CRL issued January 14 2016.,4
AYTU,Attention deficit hyperactivity disorder (ADHD),Approved,1/27/16,"Approved January 27, 2016.",5
VRTX,Cystic fibrosis (CF) ages 2 and older who have one of 23 residual function mutations.,CRL,2/5/16,"CRL issued February 5, 2016.",4
JAZZ,Dravet Syndrome and Lennox-Gastaut syndrome,Phase 3,3/14/16,"Top line Phase 3 data released March 14, 2016 met primary endpoint.",5
SPPI,Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,Approved,3/15/16,Approved March 15 2016.,5
ASRT,Conditioning treatment prior to autologous stem cell transplant for patients with multiple myeloma,Approved,3/15/16,Approved March 15 2016.,5
EGRX,Percutaneous Coronary Intervention (PCI) and Percutaneous Transluminal Coronary Angioplasty (PTCA),CRL,3/18/16,CRL March 18 2016. FDA requested further characterization of bivalirudin-related substances in the drug product.,4
EXEL,Metastatic renal cell cancer (RCC),Approved,4/25/16,"Approved April 25, 2016.",5
ACAD,Parkinson’s disease psychosis (PDP),Approved,4/29/16,"Approved April 29, 2016.",5
AVDL,Hypotension,Approved,5/2/16,"Approved May 2, 2016.",5
VNDA,Maintenance treatment of schizophrenia in adults,Approved,5/26/16,"Approved May 26, 2016.",5
TTNP,Opioid dependence,Approved,5/26/16,"CRL issued April 30, 2013. Approved May 26, 2016.",5
ICPT,Primary biliary cirrhosis (PBC),Approved,5/27/16,Approved May 27 2016.,5
MRNS,Focal onset seizures,Phase 3,6/13/16,"Phase 3 data did not meet endpoints - June 13, 2016",3
OPK,Secondary hyperparathyroidism (SHPT) in chronic kidney disease (CKD) and vitamin D insufficiency - Stage 3 and 4,Approved,6/21/16,"Announced FDA Approval June 21, 2016.",5
CLVS,Mutant EGFR T790M-positive lung cancer,CRL,6/28/16,"CRL June 28, 2016. Phase 3 TIGER-3 also terminated.",3
LNTH,Chronic pain,Approved,7/19/16,Approved July 19 2016.,5
HRTX,Prevention of acute- and delayed-onset chemotherapy-induced nausea and vomiting (CINV),Approved,8/10/16,"CRL Mar 28 2013. Approved August 10, 2016.",5
KMDA,AATD - Alpha-1 Antitrypsin deficiency,Phase 2,8/30/16,"Top-line data released August 30, 2016. Primary endpoint met",5
GSK,"Prevention of chemotherapy induced nausea and vomiting, or CINV in HEC patients",Approved,9/2/16,"Approved September 2, 2015.",5
GSK,"Prevention of chemotherapy induced nausea and vomiting, or CINV",Approved,9/2/16,"Approved September 2, 2015.",5
NVAX,Respiratory Syncytial Virus (RSV) in older adults,Phase 3,9/15/16,"Phase 3 released September 15, 2016 did not demonstrate efficacy.",3
SRPT,Duchenne muscular dystrophy,Approved,9/19/16,"Approved September 19, 2016.",5
TENX,Septic shock,Phase 2b,10/5/16,Phase 2b trial did not meet primary endpoint.,3
PLXP,Mild infections of diabetic foot ulcers,Phase 3,10/25/16,"Phase 3 top-line data did not meet endpoints - October 25, 2016 - TICKER CHANGED FROM DPRX FOLLOWING MERGER",3
ACOR,Post stroke deficits,Phase 3,11/21/16,"Phase 3 data released November 21, 2016 - failed to show efficacy, development to be discontinued.",3
NOVN,Human papillomavirus (HPV),Phase 2,11/29/16,"Phase 2 data released November 29, 2016. Primary endpoint met.",5
AVTX,Major depressive disorder (MDD),Phase 2,11/29/16,"Phase 2 top-line data released November 29, 2016 failed to meet primary endpoint.",3
COLL,Painful diabetic neuropathy (PDN),Phase 2b,12/13/16,"Phase 2b data released December 13, 2016 - primary endpoints not met.",3
VCEL,Focal chondral cartilage defects in the knee.,Approved,12/13/16,"FDA Approval announced December 13, 2016 ahead of PDUFA date of January 3 2017.",5
VTVT,Type 2 Diabetes,Phase 2,12/14/16,"Phase 2 primary endpoint met - December 14, 2016.",5
CLVS,Cancer - ovarian second line,Approved,12/19/16,"Approved December 19, 2016. Original PDUFA date under priority review was February 23, 2017.",5
MACK,Cancer - HER2-positive locally advanced or metastatic breast cancer,Phase 2,12/21/16,"Phase 2 trial discontinued December 21, 2016 due to poor efficacy.",3
IONS,Spinal muscular atrophy (SMA),Approved,12/23/16,"Approved December 23, 2016.",5
AMPH,Asthma,CRL,12/27/16,"CRL issued December 27, 2016.",4
OPK,Adults - growth hormone deficiency,Phase 3,12/30/16,"Phase 3 data released December 30, 2016 - primary endpoint not met.",3
FGEN,Pancreatic cancer,Phase 2,1/17/17,"Phase 2 abstract released January 17, 2017.",4
NBIX,Tourette syndrome - adults,Phase 2,1/18/17,"Phase 2 data released January 18, 2017 did not meet primary endpoint.",3
ABBV,Marginal zone lymphoma,Approved,1/19/17,"sNDA filing under priority review approved January 19, 2017.",5
ABBV,Facial Erythema (Redness) Associated with Rosacea,Approved,1/19/17,"Approved January 19, 2017.",5
IRWD,Chronic idiopathic constipation (CIC),Approved,1/26/17,"sNDA approval announced January 26, 2017.",5
NOVN,Acne vulgaris,Phase 3,1/27/17,"Phase 3 top-line data released January 27, 2017. Met one of three co-primary endpoints in NI-AC301 trial. Met all endpoints in NI-AC302 trial.",5
TENX,Reduce the incidence of low cardiac output syndrome during cardiac surgery,Phase 3,1/31/17,"Phase 3 top line data released January 31, 2017 - primary endpoints not met.",3
AMGN,Secondary hyperparathyroidism (SHPT),Approved,2/7/17,"Approved February 7, 2017.",5
JAZZ,Spasticity due multiple sclerosis,Phase 2,2/7/17,"Phase 2 trial did not meet primary endpoint - noted February 7, 2017.",3
JNJ,Coronary Artery Disease or Peripheral Artery Disease,Phase 3,2/8/17,"Phase 3 trial stopped early due to positive efficacy - February 8, 2017.",5
BHC,Psoriasis,Approved,2/15/17,"Approved February 15, 2017.",5
CDTX,Vulvovaginal candidiasis (VVC),Phase 2,2/21/17,"Phase 2 data released February 21, 2017 - efficacy not evident, Development to be discontinued.",3
BMY,Multiple myeloma (MM) - autologous stem cell transplant (ASCT),Approved,2/22/17,"Approved February 22, 2017.",5
CMRX,Adenovirus Infection,Phase 3,2/22/17,"Phase 3 interim analysis released May 2016. Final data released February 22, 2017.",4
AZN,Type-2 diabetes,Approved,2/28/17,"Approval announced February 28, 2017.",5
MRK,House dust mite allergies,Approved,3/1/17,"Approved March 1, 2017.",5
KPTI,Relapsed/Refractory Acute Myeloid Leukemia (AML),Phase 2,3/2/17,"Data Safety Monitoring Board (DSMB) noted March 2, 2017 that trial will not meet primary endpoint.",3
PTCT,Nonsense mutation cystic fibrosis,Phase 3,3/2/17,"Phase 3 data released March 2, 2017 - endpoints not met. Development to be discontinued.",3
NVS,HR+/HER2- advanced breast cancer,Approved,3/13/17,"Priority review granted November 1, 2016. Approval announced March 13, 2017.",5
MRK,Relapsed or Refractory Classical Hodgkin Lymphoma,Approved,3/14/17,"Approval announced March 14, 2017.",5
JAZZ,Excessive sleepiness associated with obstructive sleep apnea,Phase 3,3/20/17,"Phase 3 data released March 20, 2017 - primary endpoints met.",5
NVS,Acute heart failure,Phase 3,3/22/17,"Phase 3 data released March 22, 2017 - primary endpoints not met.",3
PFE,Metastatic Merkel cell carcinoma,Approved,3/23/17,"Priority review announced November 29, 2016. Approval announced March 23, 2017.",5
XENE,Acne,Phase 2,3/24/17,Phase 2 data released March 24 2017 - endpoints not met.,3
GSK,Cancer - ovarian,Approved,3/27/17,"PDUFA date under priority review was June 30, 2017. Approved March 27, 2017.",5
SNY,Atopic dermatitis,Approved,3/28/17,"Approved under priority review - March 28, 2017.",5
REGN,Atopic dermatitis,Approved,3/28/17,"Approved under priority review - March 28, 2017.",5
PFE,"HR+, HER2- Metastatic Breast Cancer",Approved,3/31/17,"sNDA acceptance announced December 21, 2016. Approval announced March 31, 2017.",5
AZN,Epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC),Approved,3/31/17,"Approval announced March 31, 2017.",5
SUPN,Migraine,Approved,4/5/17,"Tentative approval August 19 2016, subject to the pediatric exclusivity which expires March 28, 2017. Final approval announced April 6, 2017.",5
NKTR,Bronchiectasis,Phase 3,4/5/17,"Phase 3 second trial did not meet endpoint - April 5, 2017.",3
MRK,Type 2 Diabetes,CRL,4/7/17,CRL issued April 7 2017. sNDA for approved drug requested to include data on cardiovascular effects,4
NBIX,Tardive dyskinesia,Approved,4/11/17,"Approved April 11, 2017.",5
NOVN,Fungal infections,Phase 2,4/12/17,"Phase 2 data released April 12, 2017. Primary endpoint met.",5
MRK,Biosimilar candidate of Remicade,Approved,4/21/17,"BLA acceptance announced May 23, 2016 by partner Samsung Bioepis. Approval annuonced April 21, 2017.",5
XOMA,Hyperprolactinemia,Phase 2,4/24/17,"Phase 2 proof-of-concept results released April 24, 2017.",4
SNY,High low-density lipoprotein (LDL) cholesterol,Approved,4/25/17,"sBLA Approval announced April 25, 2017.",5
REGN,High low-density lipoprotein (LDL) cholesterol,Approved,4/25/17,"sBLA Approval announced April 25, 2017.",5
BMRN,Batten Disease,Approved,4/27/17,"PDUFA date extended by three months to April 27 2017. Approval announced April 27, 2017.",5
NVS,Acute myeloid leukemia (AML),Approved,4/28/17,"Priority review granted November 14, 2016. Approval announced April 28, 2017.",5
AEZS,Endometrial cancer,Phase 3,5/1/17,"Phase 3 trial did not meet primary endpoint - May 1, 2017.",3
PFE,Urothelial Carcinoma,Approved,5/9/17,"Approval announced May 9, 2017.",5
AZN,"Severe, uncontrolled asthma",Phase 3,5/10/17,"Phase 3 trial did not meet primary endpoint - May 10, 2017.",3
MRK,First-Line Treatment of Metastatic Non-Squamous Non-Small Cell Lung Cancer,Approved,5/10/17,"Approved May 10, 2017.",5
ARDX,Constipation-predominant irritable bowel syndrome (IBS-C),Phase 3,5/12/17,"Phase 3 data released May 12, 2017. Primary endpoint met - however, competitive concerns raised.",4
CAPR,Myocardial infarction (heart attack),Phase 2,5/12/17,"Phase 2 data released May 12, 2017 - primary endpoint unlikely to be met.",3
MRK,First and Second line locally advanced or metastatic urothelial cancer - bladder cancer,Approved,5/18/17,"Approved May 18, 2017.",5
REGN,Rheumatoid arthritis,Approved,5/22/17,"CRL October 28, 2016. Resubmitted with FDA Approval announced May 22, 2017.",5
SNY,Rheumatoid arthritis,Approved,5/22/17,"CRL October 28, 2016. Resubmitted with FDA Approval announced May 22, 2017.",5
MRK,Microsatellite Instability-High Cancer,Approved,5/23/17,"PDUFA date March 8, 2017 extended to June 9, 2017 due to submission of extra data. Approved May 23, 2017.",5
NVS,First-line use in patients with ALK+ metastatic NSCLC,Approved,5/26/17,"Priority review granted February 22, 2017. Approval announced May 26, 2017.",5
MRK,HIV-1,Approved,5/30/17,"Approval announced May 30, 2017.",5
NVO,haemophilia B,Approved,5/31/17,"Approval announced May 31, 2017.",5
ALKS,Schizophrenia,Approved,6/6/17,"Approved October 5 2015. sNDA filed for 2-month option with approval announced June 6, 2017.",5
MRK,Renal Cell Carcinoma (RCC) - cancer,Phase 2,6/12/17,"Phase 2 data released June 12, 2017 - primary endpoint not met.",3
RDHL,Gastroenteritis,Phase 3,6/14/17,"Phase 3 top-line data released June 14, 2017 - primary endpoint met.",5
ADMP,Emergency treatment of anaphylaxis,Approved,6/15/17,"CRL issued March 27 2015. CRL issued again June 6, 2016. Approval announced June 15, 2017 following third submission.",5
GMAB,Relapsed or refractory multiple myeloma,Approved,6/16/17,"Approval announced June 16, 2017 - note: submitted by Janssen Biotech, Inc.",5
JNJ,Relapsed or refractory multiple myeloma,Approved,6/16/17,"Approval announced June 16, 2017 - note: submitted by Janssen Biotech, Inc.",5
SGEN,Acute myeloid leukemia (AML) - cancer,Phase 3,6/19/17,"Phase 3 trial discontinued due to higher rate of deaths - June 19, 2017.",3
AYTU,Attention deficit hyperactivity disorder (ADHD),Approved,6/19/17,"Approval announced June 19, 2017.",5
NVS,Non-small cell lung cancer (NSCLC) with BRAF V600E mutation,Approved,6/22/17,"FDA Approval announced June 22, 2017.",5
HALO,Various blood cancers,Approved,6/22/17,"Approval announced June 22, 2017.",5
AZN,Venous thromboembolism (VTE) Prevention,Approved,6/23/17,"FDA Approval noted June 23, 2017.",5
XENE,Postherpetic neuralgia,Phase 2b,6/27/17,"Phase 2b data released June 27, 2017. Endpoints not met.",3
NRBO,Homozygous Familial Hypercholesterolemia (HoFH),Phase 2b,6/28/17,"Phase 2b data released June 28, 2017 - primary endpoint met.",5
AMGN,Wild-Type RAS Metastatic Colorectal Cancer,Approved,6/29/17,"sBLA approval announced June 29, 2017.",5
BMY,Psoriatic Arthritis (PsA),Approved,7/6/17,"Approval announced July 6, 2017.",5
RCKT,Glaucoma,Phase 2,7/7/17,"Phase 2 trial failed - noted July 7, 2017.",3
UTHR,Pulmonary Arterial Hypertension,Phase 2,7/10/17,"Phase 2 data released July 10, 2017. Primary endpoint met. Secondary missed.",4
AMGN,Ph+ R/R ALL,Approved,7/11/17,"PDUFA date under priority review August 14, 2017. Approval announced July 11, 2017.",5
JNJ,Plaque psoriasis,Approved,7/13/17,"Approval announced July 13, 2017.",5
PBYI,Extended adjuvant HER2-positive early stage breast cancer,Approved,7/17/17,"Approval announced July 17, 2017.",5
GILD,Hepatitis C virus (HCV),Approved,7/18/17,"Approval announced July 18, 2017.",5
GSK,Systemic lupus erythematosus (SLE),Approved,7/21/17,"Approval announced July 21, 2017.",5
MRK,Recurrent or metastatic head and neck squamous cell carcinoma (HNSCC),Phase 3,7/24/17,"Phase 3 trial did not meet primary endpoint - July 24, 2017. Awarded accelerated approval in 2016.",3
BMY,(dMMR) or microsatellite instability high (MSI-H) metastatic colorectal cancer (CRC),Approved,8/1/17,"Approval announced August 1, 2017.",5
AGIO,Advanced hematologic malignancies with an IDH2 mutation,Approved,8/1/17,"Approval announced August 1, 2017.",5
ACRX,Post-operative pain following open abdominal surgery and hip or knee replacement surgery,Phase 3,8/1/17,"Phase 2 data released August 1, 2017.",4
BMY,Advanced hematologic malignancies with an IDH2 mutation,Approved,8/1/17,"Approval announced August 1, 2017.",5
TBPH,Gastroparesis,Phase 2b,8/2/17,"Phase 2b data released August 2, 2017. Primary endpoint not met.",3
ABBV,Second-line Chronic graft-versus-host disease (GVHD),Approved,8/2/17,"Approval announced August 2, 2017.",5
JNJ,Second-line Chronic graft-versus-host disease (GVHD),Approved,8/2/17,"Approval announced August 2, 2017.",5
ENTA,Hepatitis C virus (HCV),Approved,8/3/17,"Approval announced August 3, 2017.",5
ABBV,Hepatitis C virus (HCV),Approved,8/3/17,"Approval announced August 3, 2017.",5
ZYNE,Adult Epilepsy Patients with Refractory Focal Seizures,Phase 2,8/7/17,"Phase 2 data released August 7, 2017 - endpoints not met.",3
HRMY,Adult Epilepsy Patients with Refractory Focal Seizures,Phase 2,8/7/17,"Phase 2 data released August 7, 2017 - endpoints not met.",3
HRMY,Osteoarthritis,Phase 2,8/14/17,"Phase 2 data released August 14, 2017 - primary endpoint not met. However, company still intends to initiate Phase 3 trial pending discussions with FDA.",3
ISEE,Wet age-related macular degeneration (Wet-AMD),Phase 3,8/14/17,"Phase 3 data released December 12, 2016 - primary endpoint not met. Data from third trial released August 14, 2017- primary endpoint not met.",3
REGN,Respiratory syncytial virus (RSV),Phase 3,8/14/17,"Phase 3 data released August 14, 2017 - primary endpoint not met.",3
ZYNE,Osteoarthritis,Phase 2,8/14/17,"Phase 2 data released August 14, 2017 - primary endpoint not met. However, company still intends to initiate Phase 3 trial pending discussions with FDA.",3
PFE,Relapsed or Refractory Acute Lymphoblastic Leukemia in Adults,Approved,8/17/17,"Approval announced August 17, 2017.",5
AZN,Second-line ovarian cancer,Approved,8/17/17,"Approval announced August 17, 2017.",5
IRWD,Hyperuricemia associated with gout,Approved,8/21/17,"Approval announced August 21, 2017.",5
RARE,GNE Myopathy,Phase 3,8/22/17,"Phase 3 data released August 22, 2017 - endpoints not met.",3
KMDA,Prophylaxis of rabies disease,Approved,8/25/17,"Approval announced August 25, 2017.",5
NVO,Type 2 diabetes,Approved,8/25/17,"Approval announced August 25, 2017.",5
AZN,"Monotherapy for expanded use in women with HR+, HER2- advanced breast cancer",Approved,8/28/17,"Expanded approval announced August 28, 2017.",5
NVS,Complicated urinary tract infections (cUTI),Approved,8/29/17,"Approved August 29, 2017.",5
NVS,Relapsed/Refractory B-Cell Acute lymphoblastic leukemia,Approved,8/30/17,"PDUFA date under priority review announced March 29, 2017. Approval announced early - August 30, 2017.",5
OTIC,Meniere's disease,Phase 3,8/30/17,Phase 3 data released August 30 failed to meet primary and key secondary endpoints.,3
PFE,Acute myeloid leukemia (AML),Approved,9/1/17,"Approval announced September 1, 2017.",5
SAGE,SRSE,Phase 3,9/12/17,"Phase 3 data released September 12, 2017 - primary endpoint not met.",3
FOLD,Epidermolysis Bullosa (EB),Phase 3,9/13/17,"Phase 3 top-line data released September 13, 2017 - endpoints not met.",3
AMGN,Biosimilar candidate to Avastin (bevacizumab),Approved,9/14/17,"Approved September 14, 2017.",5
ABBV,Biosimilar candidate to Avastin (bevacizumab),Approved,9/14/17,"Approved September 14, 2017.",5
AYTU,Attention deficit hyperactivity disorder (ADHD),Approved,9/15/17,"Approval announced September 15, 2017.",5
OPTN,Nasal polyps,Approved,9/17/17,"Approval announced September 18, 2017 (prior to IPO).",5
INVA,Chronic obstructive pulmonary disease (COPD),Approved,9/18/17,"Approval announced September 18, 2017.",5
GSK,Chronic obstructive pulmonary disease (COPD),Approved,9/18/17,"Approval announced September 18, 2017.",5
BCRX,Acute uncomplicated influenza to pediatric patients,Approved,9/21/17,"Approved September 21, 2017.",5
ARAV,"Growth hormone deficiency, or GHD - pediatric",Phase 3,9/21/17,"Phase 3 top-line data released September 21, 2017 - primary endpoint not met.",3
JNJ,Rheumatoid arthritis,CRL,9/22/17,"CRL issued September 22, 2017. Advisory Committee Meeting August 2, 2017 voted 12-1 against that safety data is adequate to support approval. 13-0 in favor of efficacy.",5
PRTA,Psoriatic Arthritis,Phase 1b,9/28/17,"Phase 1b data released September 28, 2017 - insufficient meaningful clinical effect for further development.",3
NVO,Type 1 and type 2 diabetes,Phase 3,9/29/17,"Approved September 29, 2017.",5
ABBV,Forehead lines,Approved,10/3/17,"Approval (third indication) announced October 3, 2017.",5
RDHL,IBS-D,Phase 2,10/3/17,"Phase 2 top-line data released October 3, 2017 - primary endpoint met (borderline) - p=0.05.",5
VTRS,Multiple sclerosis (MS) - Generic for Copaxone,Approved,10/4/17,"Approval announced October 4, 2017.",5
LLY,"Second-line hormone-receptor-positive (HR+), human epidermal growth factor receptor 2-negative (HER2-) breast cancer and HR+, HER2- breast cancer",Approved,10/4/17,"Approved October 4, 2017.",5
NBIX,Tardive dyskinesia,Approved,10/5/17,"Approval for sNDA 80 mg capsules announced October 5, 2017.",5
PFE,Postherpetic neuralgia (PHN),Approved,10/12/17,"Approval announced October 12, 2017.",5
JNJ,Plaque psoriasis,Approved,10/13/17,"Approval announced October 13, 2017.",5
JNJ,Ankylosing Spondylitis,Approved,10/20/17,"Approval announced October 20, 2017.",5
JNJ,Psoriatic arthritis (PsA),Approved,10/20/17,"Approval announced October 20, 2017.",5
GSK,Shingles,Approved,10/20/17,"Approval announced October 20, 2017.",5
AZN,Refractory generalized myasthenia gravis (gMG),Approved,10/23/17,"Approval announced October 23, 2017.",5
GBT,Hypoxemia in patients with idiopathic pulmonary fibrosis (IPF) who are on supplemental oxygen at rest,Phase 2a,10/23/17,"Phase 2a discontinuation announced October 23, 2017 due to lack of efficacy.",3
GSK,"Prevention of chemotherapy induced nausea and vomiting, or CINV in HEC patients",CRL,10/26/17,"CRL January 11 2017. FDA Approval announced October 25, 2017 following resubmission.",5
EGRX,Nonsquamous Non-Small Cell Lung Cancer (NSCLC) and Mesothelioma,Approved,10/27/17,"Tentative approval announced October 27, 2017. Full approval pending patent litigation with Eli Lilly.",4
BMY,Relapsing Multiple Sclerosis,Phase 3,10/28/17,"Phase 3 data due released Feb 17, 2017 - primary endpoint met, disability endpoint not met. Full data released October 27, 2017 at ECTRIMS meeting.",4
MNOV,Progressive multiple sclerosis (progressive MS),Phase 2b,10/28/17,"Phase 2b top-line data released October 28, 2017 at Joint ECTRIMS – ACTRIMS meeting. Primary endpoint met.",5
AZN,Relapsed or Refractory Mantle Cell Lymphoma,Approved,10/31/17,"Priority Review announced August 2, 2017. Approval announced October 31, 2017.",5
